Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"43439","1","2019-01-03 16:56:31","0","3831","<machine-learning><python><pandas><dataframe>","2",""
"43444","1","2019-01-03 17:55:45","3","1615","<feature-selection><decision-trees><feature-engineering><feature-construction>","3",""
"43447","1","2019-01-03 19:10:53","2","1579","<word2vec><activation-function>","2",""
"43450","1","2019-01-03 20:30:12","5","439","<machine-learning><python><cost-function>","2",""
"43451","1","2019-01-03 21:07:05","2","925","<pytorch><gpu><google><colab>","0",""
"43455","1","2019-01-03 22:42:20","0","518","<orange>","1",""
"43456","1","2019-01-03 23:07:56","2","1752","<statistics><tsne>","2",""
"43457","1","2019-01-03 23:56:47","4","2374","<machine-learning><keras><tensorflow><time-series><cnn>","2",""
"43459","1","2019-01-04 00:06:38","0","908","<convolutional-neural-network>","1",""
"43461","1","2019-01-04 00:42:42","1","223","<machine-learning><time-series><feature-engineering><data-leakage>","1",""
"43463","1","2019-01-04 06:03:52","3","2113","<machine-learning><deep-learning><keras><cnn><image-classification>","1",""
"43465","1","2019-01-04 06:56:12","0","514","<neural-network><deep-learning><nlp><dataset>","1",""
"43467","1","2019-01-04 07:15:05","1","102","<neural-network><logistic-regression><rnn><sequential-pattern-mining><mini-batch-gradient-descent>","0",""
"43469","1","2019-01-04 09:30:33","2","125","<machine-learning><r>","1",""
"43471","1","2019-01-04 10:26:10","6","1171","<neural-network><classification><overfitting>","3",""
"43479","1","2019-01-04 12:41:36","2","4411","<machine-learning><deep-learning><keras>","2",""
"43483","1","2019-01-04 13:43:48","2","153","<data-mining><statistics><probability><data-science-model><data-analysis>","2",""
"43485","1","2019-01-04 14:02:00","0","1563","<machine-learning><decision-trees><feature-extraction>","1",""
"43493","1","2019-01-04 17:54:25","2","554","<python><neural-network><visualization><jupyter><ipython>","1",""
"43494","1","2019-01-04 18:31:33","2","169","<feature-selection><unsupervised-learning><pca>","0",""
"43497","1","2019-01-04 20:39:46","2","642","<machine-learning><recommender-system><regularization><matrix-factorisation>","0",""
"43500","1","2019-01-05 00:05:43","0","1520","<machine-learning><neural-network><regularization>","1",""
"43502","1","2019-01-05 01:04:35","2","31","<r>","1",""
"43506","1","2019-01-04 18:22:50","2","1572","<neural-network>","2",""
"43512","1","2019-01-05 10:22:34","2","845","<keras><tensorflow><rnn><training><gan>","0",""
"43513","1","2019-01-05 11:08:33","1","1381","<python><scikit-learn><cross-validation><machine-learning-model>","1",""
"43514","1","2019-01-05 11:14:38","3","1210","<feature-extraction><feature-engineering>","3",""
"43517","1","2019-01-05 13:16:19","0","119","<neural-network><regression><rnn><pytorch>","1",""
"43519","1","2019-01-05 14:25:10","1","74","<neural-network><deep-learning><time-series><anomaly-detection>","0",""
"43524","1","2019-01-05 15:18:23","5","7446","<machine-learning><python><reinforcement-learning>","1",""
"43530","1","2019-01-05 16:54:16","1","628","<machine-learning><data-mining><feature-selection><preprocessing><weka>","0",""
"43534","1","2019-01-05 18:56:34","2","285","<machine-learning><data-mining><feature-engineering><weka>","1",""
"43538","1","2019-01-05 21:40:44","1","42","<machine-learning><time-series><machine-learning-model>","0",""
"43539","1","2019-01-05 22:19:33","0","474","<machine-learning><r><scikit-learn><sql><association-rules>","1",""
"43540","1","2019-01-06 00:35:24","1","353","<machine-learning><numpy><backpropagation><implementation>","0",""
"43542","1","2019-01-06 02:04:46","1","8747","<machine-learning><regression><random-forest><linear-regression>","1",""
"43549","1","2019-01-06 07:52:27","2","6100","<nlp>","0",""
"43550","1","2019-01-06 09:03:49","1","1288","<error-handling>","1",""
"43553","1","2019-01-06 10:19:18","2","596","<machine-learning><time-series><java>","0",""
"43557","1","2019-01-06 11:39:46","1","282","<machine-learning><kernel>","1",""
"43561","1","2019-01-06 13:44:58","0","28","<machine-learning><unsupervised-learning><pca><plotting>","0",""
"43565","1","2019-01-06 14:09:21","1","182","<data-mining><text-mining><ranking>","0","0"
"43568","1","2019-01-06 14:56:02","1","747","<classification><scikit-learn><normalization><audio-recognition>","2",""
"43569","1","2019-01-06 15:27:22","2","3120","<time-series><lstm><forecasting>","1",""
"43570","1","2019-01-06 07:57:13","0","31","<image-recognition>","1",""
"43577","1","2019-01-06 18:36:41","0","96","<machine-learning>","2",""
"43590","1","2019-01-06 20:52:34","0","4002","<machine-learning><data-science-model>","2",""
"43592","1","2019-01-06 21:45:23","1","1832","<reinforcement-learning><dqn>","1",""
"43595","1","2019-01-06 23:34:25","2","645","<convolutional-neural-network><deep-learning>","1",""
"43602","1","2019-01-07 06:58:10","2","1002","<machine-learning><prediction><geospatial>","2",""
"43603","1","2019-01-07 07:06:13","2","605","<machine-learning><gradient-descent>","2",""
"43608","1","2019-01-07 09:42:59","1","467","<dataset><predictive-modeling><feature-engineering><machine-learning-model>","2",""
"43609","1","2019-01-07 10:12:53","0","664","<machine-learning><decision-trees><linear-regression>","1",""
"43610","1","2019-01-07 10:30:25","1","54","<machine-learning><python>","0",""
"43619","1","2019-01-07 13:14:03","1","553","<linear-regression>","1",""
"43621","1","2019-01-07 13:43:30","1","197","<keras><tensorflow>","1",""
"43624","1","2019-01-07 14:05:25","3","248","<python><r><matplotlib><ggplot2>","1",""
"43631","1","2019-01-07 16:57:47","0","6823","<categorical-data><correlation>","2",""
"43633","1","2019-01-07 17:13:10","1","36","<machine-learning><deep-learning><multiclass-classification><data-science-model><object-detection>","0",""
"43635","1","2019-01-07 19:02:57","2","583","<ocr>","0",""
"43636","1","2019-01-07 20:11:28","6","6069","<classification><keras><feature-engineering><encoding>","2",""
"43643","1","2019-01-08 01:21:29","1","2942","<deep-learning><model-evaluations>","1",""
"43648","1","2019-01-08 06:15:31","0","571","<image-classification><computer-vision><object-detection><object-recognition><faster-rcnn>","1",""
"43658","1","2019-01-08 08:47:27","2","936","<learning>","0",""
"43661","1","2019-01-08 09:21:21","1","255","<machine-learning><regression><machine-learning-model><overfitting>","2",""
"43663","1","2019-01-08 10:02:16","3","213","<clustering><feature-extraction>","2",""
"43665","1","2019-01-08 11:08:29","1","246","<time-series>","1",""
"43671","1","2019-01-08 13:43:30","1","662","<machine-learning>","1",""
"43673","1","2019-01-08 14:10:56","4","1931","<svm>","1",""
"43675","1","2019-01-08 14:40:44","3","714","<pca><tsne>","2",""
"43676","1","2019-01-08 14:43:36","1","47","<data-science-model><class-imbalance><smote>","0",""
"43677","1","2019-01-08 14:53:50","0","582","<classification><sampling><binary>","1",""
"43679","1","2019-01-08 15:15:33","1","51","<keras><churn>","1",""
"43682","1","2019-01-08 16:31:02","3","1802","<machine-learning><classification><feature-selection><decision-trees>","1",""
"43689","1","2019-01-08 21:51:06","3","437","<regression><feature-extraction><feature-engineering><kernel>","3",""
"43690","1","2019-01-08 21:52:33","1","84","<cnn><cross-validation><training><loss-function>","0",""
"43691","1","2019-01-08 22:01:37","0","54","<tensorflow><cnn><image-recognition>","1",""
"43693","1","2019-01-08 22:33:55","1","1106","<accuracy>","1",""
"43699","1","2019-01-09 01:15:04","4","3275","<machine-learning><neural-network><deep-learning><tensorflow><pytorch>","2",""
"43702","1","2019-01-09 06:06:03","2","43","<keras><tensorflow><google-prediction-api>","1",""
"43713","1","2019-01-09 09:01:03","0","1077","<clustering><dirichlet>","1",""
"43715","1","2019-01-09 10:02:30","1","59","<neural-network><tensorflow>","1",""
"43717","1","2019-01-09 10:42:31","1","137","<machine-learning><prediction><metric>","2",""
"43721","1","2019-01-09 13:17:54","1","4141","<keras><nlp><lda><tfidf>","2",""
"43725","1","2019-01-09 14:44:27","0","1078","<machine-learning><deep-learning><classification><image-classification>","2",""
"43728","1","2019-01-09 15:50:21","4","557","<machine-learning><supervised-learning><accuracy>","1",""
"43731","1","2019-01-09 17:14:07","0","24","<machine-learning><neural-network><machine-learning-model>","1",""
"43733","1","2019-01-09 17:43:20","1","41","<optimization><supervised-learning><forecast>","1",""
"43734","1","2019-01-09 18:17:55","1","35","<data-mining><association-rules><market-basket-analysis>","0",""
"43735","1","2019-01-09 18:54:25","4","147","<optimization><bayesian><hyperparameter-tuning>","2",""
"43739","1","2019-01-09 19:38:07","4","179","<preprocessing><normalization>","1",""
"43740","1","2019-01-09 19:40:00","0","123","<neural-network><keras><tensorflow><pytorch>","1",""
"43744","1","2019-01-09 20:40:31","1","26","<machine-learning-model><representation>","0",""
"43753","1","2019-01-10 04:30:27","1","1212","<deep-learning><convolutional-neural-network>","1",""
"43756","1","2019-01-10 05:57:03","1","2795","<deep-learning><tensorflow>","2",""
"43757","1","2019-01-10 06:30:04","2","45","<machine-learning><predictive-modeling>","1",""
"43760","1","2019-01-10 08:42:47","2","8859","<dataset><databases>","2",""
"43764","1","2019-01-10 09:23:31","1","353","<research><implementation><code>","1",""
"43769","1","2019-01-10 11:17:22","1","40","<cnn>","1",""
"43770","1","2019-01-10 11:27:22","0","421","<machine-learning><unsupervised-learning><machine-learning-model>","1",""
"43771","1","2019-01-10 12:03:47","4","918","<beginner><career>","4",""
"43772","1","2019-01-10 12:22:19","1","788","<machine-learning><preprocessing><encoding>","1",""
"43773","1","2019-01-10 12:42:02","4","7877","<python><pandas><sql><data-wrangling><data-table>","2",""
"43779","1","2019-01-10 15:37:48","0","579","<statistics>","1",""
"43784","1","2019-01-10 16:28:05","2","401","<machine-learning><python><data-mining>","1",""
"43787","1","2019-01-10 18:04:42","2","222","<machine-learning><neural-network><deep-learning><tensorflow><cnn>","1",""
"43793","1","2019-01-10 19:39:25","4","10627","<scikit-learn><scoring><grid-search><gridsearchcv>","1",""
"43800","1","2019-01-10 21:03:40","1","1248","<pca><data-science-model>","1",""
"43801","1","2019-01-10 21:18:29","3","1719","<python><keras><lstm><rnn>","1",""
"43802","1","2019-01-10 22:03:05","3","2081","<neural-network><deep-learning><classification><binary>","2",""
"43804","1","2019-01-11 00:34:35","2","1173","<machine-learning><random-forest><decision-trees><weka>","1",""
"43815","1","2019-01-11 04:45:48","1","924","<nlp><svm><accuracy><naive-bayes-classifier>","1",""
"43821","1","2019-01-11 07:41:01","0","219","<machine-learning><python><scikit-learn><machine-learning-model><overfitting>","1",""
"43822","1","2019-01-11 08:01:19","1","4071","<visualization><data><seaborn>","1",""
"43826","1","2019-01-11 08:36:44","1","406","<apache-spark><normalization><feature-scaling><scala>","1",""
"43829","1","2019-01-11 09:26:50","1","33","<time-series><forecast><estimators>","0",""
"43831","1","2019-01-11 10:18:10","0","153","<machine-learning><python>","3",""
"43834","1","2019-01-11 10:51:46","2","256","<machine-learning><python><time-series><forecasting>","1",""
"43835","1","2019-01-11 10:59:43","0","142","<machine-learning><deep-learning><classification><nlp>","1",""
"43839","1","2019-01-11 12:10:09","0","97","<neural-network><deep-learning>","3",""
"43840","1","2019-01-11 12:14:01","0","48","<neural-network><classification><convolution>","3",""
"43841","1","2019-01-11 12:27:32","0","87","<classification><regression>","2",""
"43858","1","2019-01-11 15:30:23","0","2571","<machine-learning><neural-network><classification><audio-recognition>","1",""
"43860","1","2019-01-11 16:04:05","1","112","<neural-network><loss-function><binary>","1",""
"43862","1","2019-01-11 18:23:05","3","100","<neural-network>","1",""
"43863","1","2019-01-11 18:28:26","3","42","<pca><matplotlib>","1",""
"43865","1","2019-01-11 19:12:28","0","36","<deep-learning>","1",""
"43870","1","2019-01-11 21:17:47","0","1419","<r><dataframe>","2",""
"43873","1","2019-01-11 22:16:55","0","38","<bigdata><preprocessing>","1",""
"43880","1","2019-01-12 11:02:44","0","267","<machine-learning><random-forest><prediction>","2",""
"43896","1","2019-01-12 23:00:32","5","3682","<deep-learning><image-classification><convolution>","3",""
"43897","1","2019-01-12 23:18:02","0","275","<python><scikit-learn><linear-regression>","2",""
"43899","1","2019-01-13 00:47:52","1","120","<deep-learning><keras><gradient-descent><mathematics>","0","0"
"43905","1","2019-01-13 07:27:05","2","2686","<python><deep-learning><cnn><computer-vision><opencv>","1",""
"43906","1","2019-01-13 09:18:43","1","64","<neural-network><predictive-modeling><bayesian><bayesian-networks>","1",""
"43910","1","2019-01-13 10:23:58","4","221","<deep-learning><cnn>","1",""
"43911","1","2019-01-13 10:40:46","2","273","<machine-learning><python><scikit-learn><predictive-modeling><multiclass-classification>","1",""
"43913","1","2019-01-13 11:23:15","1","130","<machine-learning><nlp><information-retrieval><tfidf>","1",""
"43914","1","2019-01-13 11:25:43","2","125","<machine-learning><python><cnn>","1",""
"43921","1","2019-01-13 13:43:38","3","311","<machine-learning><neural-network><deep-learning>","2",""
"43927","1","2019-01-13 16:59:14","7","10061","<neural-network><keras><tensorflow>","2",""
"43931","1","2019-01-13 19:59:20","2","444","<machine-learning><classification><svm><kernel><rbf>","1",""
"43933","1","2019-01-13 20:16:37","1","90","<model-selection>","2",""
"43934","1","2019-01-13 20:49:29","2","1923","<keras><r><time-series><finance>","2",""
"43935","1","2019-01-13 21:08:07","1","33","<predictive-modeling><cnn><parameter-estimation>","0",""
"43937","1","2019-01-13 21:14:35","2","29028","<python><numpy>","3",""
"43938","1","2019-01-13 21:24:07","3","1620","<neural-network><time-series><regression><lstm>","2",""
"43945","1","2019-01-14 03:20:14","0","272","<python><scikit-learn><pandas><numpy>","1",""
"43947","1","2019-01-14 03:40:07","2","11371","<machine-learning><classification><logistic-regression><multiclass-classification>","2",""
"43953","1","2019-01-14 08:13:08","2","668","<machine-learning>","2",""
"43954","1","2019-01-14 08:22:02","0","1507","<keras><tensorflow>","1",""
"43963","1","2019-01-14 11:40:59","2","152","<ensemble>","1",""
"43966","1","2019-01-14 12:55:14","1","90","<machine-learning><deep-learning><xgboost>","0",""
"43972","1","2019-01-14 13:58:22","18","39719","<neural-network><feature-selection><feature-scaling><classifier>","3",""
"43975","1","2019-01-14 14:45:29","1","298","<machine-learning><databases>","1",""
"43977","1","2019-01-14 15:06:23","2","551","<machine-learning><feature-selection><bigdata>","2",""
"43978","1","2019-01-14 15:33:33","1","3222","<machine-learning><neural-network><training><ai>","3",""
"43986","1","2019-01-14 17:30:14","2","355","<machine-learning><scikit-learn><predictive-modeling>","1",""
"43993","1","2019-01-14 18:47:40","0","554","<neural-network><logistic-regression><octave><matrix>","1",""
"43995","1","2019-01-14 19:18:03","4","406","<distance><k-nn><metric>","3",""
"44008","1","2019-01-15 04:02:26","1","1485","<nlp><multiclass-classification><search-engine>","2",""
"44009","1","2019-01-15 05:56:45","1","3353","<machine-learning><svm><feature-scaling><encoding><k-nn>","1",""
"44011","1","2019-01-15 06:33:28","3","723","<machine-learning><computer-vision><career><linear-algebra>","1",""
"44017","1","2019-01-15 09:27:31","0","244","<neural-network><lstm><training><overfitting><labels>","1",""
"44022","1","2019-01-15 10:26:42","0","190","<machine-learning><statistics><pca><image-recognition><dimensionality-reduction>","1",""
"44024","1","2019-01-15 10:39:59","1","2685","<lstm>","1",""
"44031","1","2019-01-15 12:43:59","2","874","<machine-learning><gan>","1",""
"44036","1","2019-01-15 13:32:45","0","462","<machine-learning><regression><feature-scaling>","1",""
"44038","1","2019-01-15 13:45:11","2","329","<classification><cnn><text><learning>","1",""
"44042","1","2019-01-15 14:33:09","0","78","<feature-scaling>","2",""
"44046","1","2019-01-15 15:43:45","0","32","<machine-learning><statistics><visualization><pca>","1",""
"44047","1","2019-01-15 15:45:58","1","867","<word-embeddings><multilabel-classification>","1",""
"44049","1","2019-01-15 16:40:42","0","1005","<object-detection><object-recognition>","1",""
"44053","1","2019-01-15 17:41:52","1","32","<nlp>","1",""
"44055","1","2019-01-15 17:59:51","0","295","<text>","1",""
"44057","1","2019-01-15 18:41:32","1","545","<python><time-series><pandas>","0",""
"44060","1","2019-01-15 21:19:37","2","941","<machine-learning><deep-learning><keras><scikit-learn>","2",""
"44061","1","2019-01-15 23:24:10","1","67","<predictive-modeling><data><anomaly-detection>","0",""
"44065","1","2019-01-16 02:09:44","24","19042","<deep-learning><keras><dropout><monte-carlo>","1",""
"44068","1","2019-01-16 03:25:57","3","148","<generative-models><embeddings><text-generation>","2",""
"44070","1","2019-01-16 05:05:29","2","511","<machine-learning><regularization><matrix-factorisation><embeddings>","0",""
"44071","1","2019-01-16 05:58:02","0","78","<algorithms><mathematics>","2",""
"44072","1","2019-01-16 06:12:30","0","3192","<visualization><data><correlation><probability>","2",""
"44079","1","2019-01-16 10:35:30","3","287","<machine-learning><linear-regression><optimization>","1",""
"44082","1","2019-01-16 10:44:05","3","102","<machine-learning><cnn><image-classification><convolutional-neural-network>","1",""
"44087","1","2019-01-16 13:15:55","1","269","<classification><scikit-learn><accuracy>","2",""
"44089","1","2019-01-16 14:02:39","0","33","<machine-learning><neural-network><image-classification><convolutional-neural-network><data-augmentation>","1",""
"44091","1","2019-01-16 14:41:34","8","9741","<neural-network><gradient-descent><loss-function>","2",""
"44094","1","2019-01-16 15:51:52","0","784","<nlp><word-embeddings>","1",""
"44096","1","2019-01-16 16:48:10","2","574","<nlp><data><multilabel-classification>","2",""
"44097","1","2019-01-16 16:55:52","3","149","<machine-learning><score><collinearity>","2",""
"44101","1","2019-01-16 17:41:27","1","938","<python><neural-network><tensorflow><accuracy><overfitting>","2",""
"44102","1","2019-01-16 17:48:31","0","21","<machine-learning><neural-network>","1",""
"44103","1","2019-01-16 17:57:37","1","226","<machine-learning><bigdata><image-classification><training><image-recognition>","0",""
"44108","1","2019-01-16 18:16:04","12","22159","<machine-learning>","2",""
"44109","1","2019-01-16 18:16:48","1","720","<machine-learning><bigdata><sampling><hyperparameter-tuning>","2",""
"44115","1","2019-01-16 18:58:53","3","628","<logistic-regression>","2",""
"44123","1","2019-01-16 21:26:54","2","334","<parallel><boosting>","1",""
"44124","1","2019-01-16 22:27:53","11","24104","<machine-learning><neural-network><deep-learning><keras><tensorflow>","1",""
"44126","1","2019-01-16 22:58:29","4","549","<machine-learning><correlation>","2","0"
"44127","1","2019-01-17 02:11:07","1","294","<clustering><tfidf>","2",""
"44133","1","2019-01-17 05:00:14","5","1652","<python><computer-vision><similarity><opencv>","2",""
"44139","1","2019-01-17 09:40:28","3","955","<overfitting><variance><bias>","1",""
"44141","1","2019-01-17 10:15:11","0","115","<scikit-learn>","3",""
"44148","1","2019-01-17 14:11:22","1","123","<deep-learning><reinforcement-learning>","0",""
"44150","1","2019-01-17 14:40:55","1","727","<machine-learning><data-mining><naive-bayes-classifier>","1",""
"44151","1","2019-01-17 14:58:45","1","155","<classification><text-mining><word2vec><gensim>","0",""
"44152","1","2019-01-17 15:36:53","1","583","<machine-learning><optimization>","0",""
"44155","1","2019-01-17 16:30:51","4","1041","<python><pandas>","2",""
"44156","1","2019-01-17 16:58:48","1","49","<machine-learning><deep-learning><scikit-learn><data>","0",""
"44161","1","2019-01-17 18:55:28","1","99","<logistic-regression>","2",""
"44163","1","2019-01-17 19:26:03","1","83","<image-classification><prediction><convolutional-neural-network>","0",""
"44169","1","2019-01-18 01:13:24","1","1635","<machine-learning><xgboost><data-science-model><boosting>","1",""
"44171","1","2019-01-18 01:59:16","1","205","<image-classification><image-recognition><reference-request>","0",""
"44176","1","2019-01-18 06:19:47","2","143","<machine-learning><regularization><matrix-factorisation><embeddings>","1",""
"44177","1","2019-01-18 06:34:01","0","549","<keras><tensorflow><lstm><cnn><rnn>","2",""
"44180","1","2019-01-18 08:14:43","2","2446","<machine-learning><classification>","3",""
"44188","1","2019-01-18 10:00:06","1","168","<data-mining><statistics>","2",""
"44190","1","2019-01-18 10:34:11","1","217","<python><parsing><regex><tokenization>","0",""
"44192","1","2019-01-18 10:52:14","12","13972","<regression><visualization><seaborn>","1",""
"44195","1","2019-01-18 11:19:02","1","54","<machine-learning><time-series><predictive-modeling><preprocessing><forecast>","0",""
"44202","1","2019-01-18 14:09:33","1","230","<text-mining>","1",""
"44205","1","2019-01-18 15:08:49","1","1251","<nlp><text-mining><word2vec><information-retrieval>","1",""
"44206","1","2019-01-18 15:16:41","4","5893","<machine-learning><neural-network><deep-learning><classification><keras>","2",""
"44213","1","2019-01-18 18:34:24","4","5927","<machine-learning><activation-function>","1",""
"44215","1","2019-01-18 18:55:33","2","1165","<machine-learning><scikit-learn><nlp><accuracy><sentiment-analysis>","1",""
"44219","1","2019-01-18 20:08:23","3","1469","<python><scikit-learn><imbalanced-learn><smotenc>","1",""
"44220","1","2019-01-18 23:39:21","4","810","<machine-learning><python><classification><text-mining><algorithms>","1",""
"44222","1","2019-01-19 02:31:59","2","2430","<python><numpy><gaussian><noise>","1",""
"44223","1","2019-01-19 04:45:03","1","720","<machine-learning-model><data-science-model><model-selection><ensemble-modeling>","2",""
"44224","1","2019-01-19 08:44:20","3","1973","<python><statistics><data><ipython>","2",""
"44225","1","2019-01-19 09:10:36","8","1482","<machine-learning><keras><scikit-learn><feature-scaling><labels>","1",""
"44228","1","2019-01-19 10:20:12","0","843","<machine-learning-model>","6",""
"44236","1","2019-01-19 13:50:02","0","635","<keras><lstm><preprocessing><feature-scaling>","1",""
"44242","1","2019-01-19 17:02:25","0","73","<machine-learning><feature-extraction><word2vec><text>","1",""
"44244","1","2019-01-19 18:06:39","-1","209","<machine-learning><data-science-model>","1",""
"44246","1","2019-01-19 18:55:30","2","159","<python><neural-network><tensorflow><convolutional-neural-network>","1",""
"44248","1","2019-01-19 19:44:16","0","64","<regression><prediction>","1",""
"44249","1","2019-01-19 19:48:52","2","3323","<python><keras><time-series><predictive-modeling><lstm>","1",""
"44253","1","2019-01-19 22:14:14","3","679","<dataset><data-cleaning><image-classification><computer-vision><preprocessing>","2",""
"44256","1","2019-01-20 00:26:03","1","294","<machine-learning><nlp><statistics><machine-learning-model>","1",""
"44266","1","2019-01-20 06:51:49","1","743","<machine-learning><scikit-learn><nlp><multiclass-classification><naive-bayes-classifier>","1",""
"44268","1","2019-01-20 07:47:27","2","2220","<cnn>","1",""
"44270","1","2019-01-20 09:45:14","2","942","<nlp><nltk><tokenization>","1",""
"44271","1","2019-01-20 09:53:07","1","20","<yolo>","0",""
"44272","1","2019-01-20 09:56:13","1","36","<time-series><pca>","0",""
"44274","1","2019-01-20 10:04:19","2","1246","<machine-learning><lstm><rnn><accuracy><metric>","1",""
"44277","1","2019-01-20 10:44:40","1","1094","<machine-learning><data-mining><predictive-modeling><data-science-model>","1",""
"44280","1","2019-01-20 11:12:23","0","99","<machine-learning><python><books>","2",""
"44283","1","2019-01-20 11:48:47","1","1386","<machine-learning><python><nlp><feature-selection>","1",""
"44288","1","2019-01-20 14:07:24","0","1314","<keras><cnn><batch-normalization>","2","0"
"44293","1","2019-01-20 15:53:19","8","22568","<neural-network><dropout>","1",""
"44300","1","2019-01-20 18:52:29","1","211","<anonymization>","5",""
"44302","1","2019-01-20 19:35:26","2","2327","<python><neural-network><keras><regression>","1",""
"44303","1","2019-01-20 19:39:23","2","177","<neural-network><deep-learning><lstm><cnn><nlp>","3",""
"44306","1","2019-01-20 20:30:38","1","5185","<classification><scikit-learn><nlp><naive-bayes-classifier>","1",""
"44307","1","2019-01-20 20:55:42","3","629","<graphs><embeddings>","3",""
"44313","1","2019-01-21 04:32:05","2","109","<python><data><bigdata><bayesian><pymc3>","0",""
"44315","1","2019-01-21 05:52:55","4","3254","<reinforcement-learning><q-learning><dynamic-programming>","1",""
"44317","1","2019-01-21 07:12:01","2","79","<dataset><statistics><recommender-system><ab-test>","1",""
"44319","1","2019-01-21 08:04:23","0","49","<machine-learning><classification><machine-learning-model><model-evaluations>","1",""
"44322","1","2019-01-21 10:33:13","1","136","<machine-learning><predictive-modeling><lstm><recommender-system><nlp>","0",""
"44323","1","2019-01-21 11:17:17","2","121","<neural-network><activation-function>","0",""
"44324","1","2019-01-21 11:34:40","5","17092","<machine-learning><neural-network><gradient-descent>","2",""
"44325","1","2019-01-21 11:53:15","1","164","<neural-network><deep-learning><regularization><generative-models><embeddings>","2",""
"44327","1","2019-01-21 12:02:00","6","4956","<machine-learning><cross-validation><class-imbalance><sampling>","2",""
"44330","1","2019-01-21 13:08:09","0","3411","<machine-learning><deep-learning><training><image-preprocessing>","2",""
"44335","1","2019-01-21 16:00:49","1","437","<r><time-series><statistics>","1",""
"44336","1","2019-01-21 16:10:08","2","593","<machine-learning><neural-network><deep-learning><feature-engineering>","1",""
"44340","1","2019-01-21 16:56:11","1","269","<machine-learning><statistics><mathematics>","1",""
"44354","1","2019-01-22 03:53:05","6","5818","<xgboost>","2",""
"44358","1","2019-01-22 06:08:57","0","94","<deep-learning><prediction><social-network-analysis><reference-request>","1",""
"44359","1","2019-01-22 06:15:18","1","82","<machine-learning><scikit-learn><clustering>","1",""
"44360","1","2019-01-22 06:16:05","2","1369","<python><neural-network><keras><regression><lstm>","1",""
"44367","1","2019-01-22 08:40:40","1","299","<deep-learning><image-classification>","2",""
"44369","1","2019-01-22 10:36:39","1","37","<reinforcement-learning><q-learning><dqn><deep-learning>","0",""
"44374","1","2019-01-22 12:55:40","0","904","<python><keras><pyspark>","1",""
"44377","1","2019-01-22 13:33:58","0","64","<career>","2",""
"44379","1","2019-01-22 13:57:34","1","152","<machine-learning><neural-network><embeddings>","1",""
"44383","1","2019-01-22 15:11:11","1","1050","<machine-learning><python><classification><nltk>","3",""
"44387","1","2019-01-22 17:37:07","5","4604","<machine-learning><python><scikit-learn><pandas><data-science-model>","3",""
"44389","1","2019-01-22 18:09:20","1","266","<machine-learning><data-mining>","4",""
